season,week_day,year,month,day,home,visitor,home_current_points,visitor_current_points,home_last_table_position,visitor_last_table_position,home_penultimate_table_position,visitor_penultimate_table_position,home_value,visitor_value,result
2020,34,2021,5,1,30,1,,,13,8,14,5,268050000.0,556700000.0,
2020,34,2021,5,1,41,23,,,11,5,16,10,240500000.0,480500000.0,
2020,34,2021,5,1,46,39,,,6,10,4,21,737150000.0,172300000.0,
2020,34,2021,5,1,48,52,,,21,7,21,7,118150000.0,422600000.0,
2020,35,2021,5,8,1,48,,,8,21,5,21,556700000.0,118150000.0,
2020,35,2021,5,8,2,27,,,17,3,21,6,323500000.0,765350000.0,
2020,35,2021,5,8,18,10,,,21,9,19,15,216300000.0,152080000.0,
2020,35,2021,5,8,22,46,,,21,6,21,4,195530000.0,737150000.0,
2020,35,2021,5,8,23,30,,,5,13,10,14,480500000.0,268050000.0,
2020,35,2021,5,8,24,41,,,1,11,2,16,1110000000.0,240500000.0,
